query_id,answer
1,4396 4308 4234 2646 1909 4219 4384 1951 4389 4328
2,4219 2646 1958 4400 4384 1966 4234 4440 2865 4361
3,4234 1909 4219 4328 4396 4308 2646 4400 4286 1907
4,4219 1966 4400 2865 2646 4403 4234 1951 4214 4384
5,1951 4234 4219 2646 3467 2698 4214 4396 4308 4286
6,4361 4234 1951 2928 4219 1909 4384 2646 2865 4433
7,4219 1966 2865 4400 4384 2646 4234 4361 4403 4387
8,1951 4214 4234 2646 4286 4396 4328 4219 2698 4308
9,4451 2698 4214 4219 2646 2665 4395 4440 4234 1951
10,4219 2646 1966 2865 4400 4234 4361 4384 4387 4403
11,4219 2865 2646 1966 4400 4384 4403 2831 4234 4440
12,4219 4400 4387 4384 2865 1966 2646 1958 4440 4395
13,4219 1966 4384 4440 2646 2865 4400 4387 4389 1958
14,4389 2886 3254 2222 4451 4440 4219 4214 2646 3256
15,4219 4361 1966 4234 2646 4384 1909 2865 4400 4396
16,4440 4219 1958 2646 4389 4384 4387 2865 4361 1966
17,1951 4234 4308 4328 3467 2646 4219 4214 2665 4396
18,4219 2646 4234 4361 1909 4387 4400 1951 4308 4403
19,1951 2646 4219 4234 4214 3467 4308 4328 2698 4286
20,2865 4219 2646 1966 4400 4384 4387 4395 2831 4403
21,2646 4214 4219 2698 1951 4389 2665 4234 4395 4451
22,4234 4433 4451 2222 4440 2698 3993 4214 4219 3862
23,4286 4328 4234 1951 4396 4219 4308 1907 1909 2646
24,4440 4219 1958 4389 4384 2646 4387 2865 1966 4361
25,1951 4214 2698 4234 2665 4219 4451 4440 2865 4396
26,4219 4361 2865 2646 4389 4440 4234 1966 4384 4403
27,4219 4384 1966 2646 4387 4440 2865 4400 4395 4389
28,4219 4400 2865 1909 4234 4387 1966 4384 2646 4403
29,4219 2865 2646 4384 1966 4400 4234 4361 4403 4387
30,1951 2646 4234 4219 4308 4214 3467 4440 4286 4396
31,4234 1909 4219 4308 2646 4400 1951 4361 4403 4286
32,4219 4384 2646 4389 4440 4361 4214 4308 4396 1951
33,1966 4219 2646 2865 4384 4440 4400 4387 4403 1958
34,4219 2646 2865 1966 4384 4400 4234 4387 4361 4440
35,4396 4328 4286 4234 1951 4308 4219 1909 1907 2646
36,4387 4384 4219 2646 2865 4400 1966 4395 1958 4403
37,4219 1966 4400 2646 4384 2865 4387 4403 1958 4361
38,4219 1966 2646 4384 4440 4400 2865 1958 4387 4395
39,1951 4234 3467 4328 4214 4219 4286 2646 4308 4396
40,4219 2646 4234 4361 4400 4440 1909 1966 4308 4214
41,4234 4214 4219 4384 4361 2646 4396 4308 1951 4400
42,4219 4387 2646 2865 4384 4400 1958 4440 1966 4234
43,4308 4234 4219 4328 1909 2646 1951 4396 4214 4361
44,4219 2865 1966 2646 4400 4384 4234 4387 4395 4403
45,4219 1966 2865 2646 4384 4400 4387 4361 4403 4234
46,2665 4214 1951 4234 2646 2698 4219 4328 4308 4361
47,4234 4219 2646 4361 1951 4308 4214 4328 1909 4384
48,4219 1966 4384 4387 2646 4440 2865 4400 4395 1958
49,2646 4219 4308 4234 4400 1907 4403 2665 4387 4214
50,1951 4234 3467 4308 4286 4328 4214 4361 4396 4219
51,4219 4395 4214 2646 4440 4389 4384 2865 4387 4234
52,4219 2646 4395 4214 4234 4424 2665 4308 2698 4286
53,4219 4234 2646 4389 4361 4384 4440 4400 1958 4387
54,4234 4395 4214 1951 4219 4361 4424 1909 2646 4396
55,1951 4308 4214 4234 2646 3467 4219 2698 4396 4320
56,4403 4234 4308 1909 4219 4400 4396 4328 2646 4384
57,4440 4423 4400 4219 3028 4364 2831 4234 1966 1951
58,2646 4219 4384 4440 4389 4234 4361 2865 4308 4387
59,4219 2865 2646 1966 4384 4400 4387 4361 4234 4395
60,2646 4219 1966 2865 4400 4403 4387 4384 4440 1958
61,4219 2646 4384 4389 4440 4234 4361 4396 4308 3565
62,4219 4400 2865 1966 2646 4384 4234 4387 4361 4308
63,4400 4387 4219 4234 4384 1958 2865 4403 2831 2646
64,4234 1907 1909 4328 4286 4396 4219 4308 1951 1958
65,2222 4440 3128 4307 4364 2886 4234 2894 4219 4214
66,4276 4440 2886 2222 1951 4389 2894 4234 4219 4224
67,4219 2646 4384 4440 4361 4389 4234 4308 4396 1966
68,4440 2222 4234 2204 4395 3932 4307 4219 4389 2646
69,4219 2646 4400 1966 4403 2865 4234 4361 4384 4387
70,4234 4328 1909 4396 1907 4286 4308 1951 4219 2646
71,4234 4219 2646 4214 1951 4308 2698 4384 4361 2665
72,2698 4234 1951 4308 4214 1909 4219 2646 4286 4328
73,4440 2886 2894 4389 3254 2222 4219 4395 3128 4234
74,4219 2865 1966 2646 4400 4384 4387 4403 4234 4361
75,2646 4219 4234 4361 1951 4384 4308 3467 4328 2865
76,2698 4234 2646 1951 4328 4396 4219 4308 4214 4286
77,4219 2646 4328 4308 4389 1909 1951 4396 4234 4214
78,1909 4328 4234 4396 4308 4286 4361 4219 2646 1951
79,4219 2865 2646 1966 4384 4387 4400 4361 4234 4403
80,4219 4234 1951 3861 4214 2646 4389 4320 3565 4361
81,4219 2865 2646 1966 4361 4384 4234 4400 4403 4218
82,4308 4234 4219 4400 4387 1966 1909 1907 2646 4328
83,4234 1951 4219 1907 1909 2646 4400 4214 4328 4361
84,4400 4234 4219 1966 2865 4384 2646 4387 4403 4395
85,4219 4396 1907 4234 2646 4361 2665 4214 4308 1951
86,1951 4234 3467 2698 4328 2646 4361 4214 4308 4219
87,4219 2646 4361 4234 1951 1909 2865 4308 1966 4328
88,1951 4234 3467 2646 4219 4286 4308 4361 4396 4328
89,1951 4234 3467 4328 2698 4396 4219 4214 2646 4308
90,2646 2865 4219 1966 4384 4400 4403 4234 4361 2831
91,2646 4219 4234 1951 4396 2665 4308 4214 3467 1909
92,4234 1951 4214 4219 4328 4396 3467 4308 4361 4286
93,4387 4219 2865 4384 4400 2646 1966 4395 1958 4403
94,3147 4219 4403 4384 2646 4400 4440 4214 4387 4395
